Title,Juan,María,Pedro,Ana,Luis,Laura,Carlos,Sara,Javier,Lucía,Pablo,Elena,Marta,José,Isabel,Total
"Masters en Excel 1
Excel Básico - Intermedio",0.3711555176203317,0.3343255175020876,0.4222733638006821,0.2326275091704512,0.20853090788972767,0.28975285142324925,0.17593436330868742,0.09708231133180277,0.3188125539106316,0.13683098355092577,0.11660619518108772,0.35097050002822344,0.3971059216972729,0.27595295246802753,0.18944688523943262,3.9174083341226216
"Reconocimiento de Huella Dactilar en Excel
Huella dactilar en excel utilizando el lector uaeu 4500 digital persona",0.3711555176203317,0.11144183916736253,0.1407577879335607,0.04652550183409024,0.3753556342015098,0.3725393804013204,0.31668185395563736,0.4368704009931125,0.0,0.4104929506527773,0.11660619518108772,0.1949836111267908,0.22061440094292936,0.11826555105772607,0.3410043934309787,3.5732950184992154
DaVinci Resolve para corrección de color profesional en cine,0.3711555176203317,0.1857363986122709,0.3284348385116416,0.09305100366818048,0.1251185447338366,0.3725393804013204,0.2463081086321624,0.24270577832950693,0.17711808550590646,0.3192722949521601,0.07773746345405848,0.35097050002822344,0.3088601613201011,0.1971092517628768,0.1515575081915461,3.547674835724124
"Nivel 3. Integrarse en el ecosistema
Vaya más allá de Solidity y comience a explorar herramientas, protocolos y aplicaciones del ecosistema",0.16495800783125855,0.1857363986122709,0.4222733638006821,0.3256785128386317,0.16682472631178213,0.28975285142324925,0.31668185395563736,0.09708231133180277,0.3188125539106316,0.3192722949521601,0.27208112208920465,0.1949836111267908,0.04412288018858587,0.27595295246802753,0.1515575081915461,3.545770949032261
"Uso Profesional de tus archivos en la Nube con Google Drive
Ya nunca más pierdas información importante!, gestiona de forma profesional todos tus archivos almacenados en la nube.",0.08247900391562928,0.3343255175020876,0.23459631322260116,0.04652550183409024,0.041706181577945534,0.3725393804013204,0.2463081086321624,0.4368704009931125,0.3188125539106316,0.4104929506527773,0.27208112208920465,0.1949836111267908,0.3088601613201011,0.11826555105772607,0.11366813114365956,3.5325144893798397
"Curso de Python - Aprende desde cero
Curso de Python",0.3711555176203317,0.1857363986122709,0.04691926264452023,0.4187295165068121,0.1251185447338366,0.3725393804013204,0.17593436330868742,0.3397880896613097,0.07084723420236258,0.4104929506527773,0.34981858554326317,0.35097050002822344,0.04412288018858587,0.07884370070515072,0.18944688523943262,3.5304638100488845
"Curso Completo FSLogix
FSLogixCalificación: 0,0 de 5",0.3711555176203317,0.11144183916736253,0.09383852528904046,0.3256785128386317,0.08341236315589107,0.3725393804013204,0.10556061798521246,0.048541155665901385,0.17711808550590646,0.4104929506527773,0.34981858554326317,0.2729770555775071,0.3971059216972729,0.1971092517628768,0.18944688523943262,3.5062366481027283
Introducción a las técnicas de grabación de voz,0.1237185058734439,0.07429455944490836,0.04691926264452023,0.3256785128386317,0.1251185447338366,0.3725393804013204,0.31668185395563736,0.14562346699770415,0.10627085130354387,0.4104929506527773,0.27208112208920465,0.35097050002822344,0.13236864056575762,0.3547966531731782,0.3410043934309787,3.4985591981336666
Image Processing for Engineering and Science,0.1237185058734439,0.3343255175020876,0.4222733638006821,0.09305100366818048,0.29194327104561874,0.3725393804013204,0.17593436330868742,0.14562346699770415,0.3188125539106316,0.4104929506527773,0.03886873172702924,0.03899672222535816,0.3088601613201011,0.07884370070515072,0.3410043934309787,3.4952880865697513
Write A Feature Length Screenplay For Film Or Television,0.1237185058734439,0.26003095805717924,0.23459631322260116,0.04652550183409024,0.16682472631178213,0.3725393804013204,0.2463081086321624,0.048541155665901385,0.3188125539106316,0.13683098355092577,0.27208112208920465,0.35097050002822344,0.3971059216972729,0.1971092517628768,0.26522563933520565,3.437220622372822
